Date;Consultant_Email;Client_Account_Number;Channel;Stakeholder;Query_Category;Query_Status;Resolution_Time_Hours;SLA_Met
2025-08-14;brandon.jacobs@bank.co.za;ACC92966461;Call;Client;Account Maintenance;Resolved;8,6;Yes
2025-05-10;thabo.mokoena@bank.co.za;ACC35568177;Call;Client;Payments;Escalated;58,8;No
2025-01-02;brandon.jacobs@bank.co.za;ACC98171058;Email;Other;Technical;Resolved;15,1;Yes
2025-09-11;brandon.jacobs@bank.co.za;ACC37917994;Email;Other;Onboarding;Pending;;Open
2025-06-18;zanele.mabaso@bank.co.za;ACC14676136;Call;Client;Digital Banking;Resolved;19,2;Yes
2025-09-19;sibusiso.khanyile@bank.co.za;ACC43794514;Call;Relationship Banker;Account Maintenance;Resolved;12,3;Yes
2025-01-26;sibusiso.khanyile@bank.co.za;ACC30327112;Call;Client;Payments;Escalated;68,5;No
2025-03-28;brandon.jacobs@bank.co.za;ACC65491526;Call;Client;Payments;Resolved;9,8;Yes
2025-02-28;lerato.naidoo@bank.co.za;ACC62979180;Call;Other;Payments;Resolved;17,4;Yes
2025-08-20;sibusiso.khanyile@bank.co.za;ACC45037264;Call;Client;Technical;Resolved;22;Yes
2025-10-27;lerato.naidoo@bank.co.za;ACC35025188;Email;Other;Technical;Pending;;Open
2025-01-09;sibusiso.khanyile@bank.co.za;ACC30171435;Call;Other;Technical;Resolved;17,8;Yes
2025-07-22;keketso.sangweni@bank.co.za;ACC66815633;Email;Other;Account Maintenance;Transfer to Different Dept;27,2;No
2025-09-18;thabo.mokoena@bank.co.za;ACC97552045;Email;Client;Payments;Resolved;15,4;Yes
2025-12-03;keketso.sangweni@bank.co.za;ACC86088402;Email;Relationship Banker;Payments;Resolved;9,7;Yes
2025-07-26;sibusiso.khanyile@bank.co.za;ACC26845400;Call;Relationship Banker;Technical;Resolved;17;Yes
2025-05-15;brandon.jacobs@bank.co.za;ACC13496558;Call;Other;Payments;Escalated;54,9;No
2025-02-14;lerato.naidoo@bank.co.za;ACC89803189;Call;Other;Digital Banking;Transfer to Different Dept;44,2;No
2025-08-21;lerato.naidoo@bank.co.za;ACC90802747;Call;Other;Digital Banking;Resolved;20,5;Yes
2025-11-18;zanele.mabaso@bank.co.za;ACC76633339;Email;Client;Onboarding;Resolved;14;Yes
2025-09-16;brandon.jacobs@bank.co.za;ACC84215442;Call;Other;Onboarding;Resolved;11,6;Yes
2025-04-19;brandon.jacobs@bank.co.za;ACC28400917;Email;Relationship Banker;Technical;Resolved;1,2;Yes
2025-03-17;amanda.dlamini@bank.co.za;ACC32782208;Call;Other;Payments;Escalated;42,4;No
2025-09-08;naledi.maseko@bank.co.za;ACC70723689;Call;Relationship Banker;Payments;Resolved;4,5;Yes
2025-01-19;sibusiso.khanyile@bank.co.za;ACC37175066;Call;Client;Onboarding;Resolved;23,7;Yes
2025-09-03;sibusiso.khanyile@bank.co.za;ACC84762784;Call;Client;Payments;Resolved;5,4;Yes
2025-11-30;brandon.jacobs@bank.co.za;ACC28106389;Email;Client;Onboarding;Resolved;21,7;Yes
2025-08-29;thabo.mokoena@bank.co.za;ACC61551561;Email;Other;Payments;Transfer to Different Dept;33,6;No
2025-08-14;keketso.sangweni@bank.co.za;ACC89420846;Call;Relationship Banker;Payments;Resolved;1,2;Yes
2025-10-17;lerato.naidoo@bank.co.za;ACC35179932;Call;Relationship Banker;Digital Banking;Resolved;12,2;Yes
2025-04-21;naledi.maseko@bank.co.za;ACC22278486;Call;Client;Payments;Resolved;10,2;Yes
2025-08-28;thabo.mokoena@bank.co.za;ACC74182219;Call;Relationship Banker;Payments;Resolved;3,5;Yes
2025-05-18;sibusiso.khanyile@bank.co.za;ACC83552432;Email;Other;Digital Banking;Transfer to Different Dept;14,2;Yes
2025-02-07;zanele.mabaso@bank.co.za;ACC72417636;Email;Client;Technical;Resolved;8,3;Yes
2025-06-09;thabo.mokoena@bank.co.za;ACC30636867;Call;Other;Technical;Resolved;10,8;Yes
2025-07-06;thabo.mokoena@bank.co.za;ACC13265212;Call;Other;Payments;Resolved;5,3;Yes
2025-02-13;thabo.mokoena@bank.co.za;ACC83749585;Call;Other;Account Maintenance;Resolved;18,4;Yes
2025-01-06;brandon.jacobs@bank.co.za;ACC25591484;Call;Client;Account Maintenance;Escalated;33,6;No
2025-02-01;sibusiso.khanyile@bank.co.za;ACC90263574;Email;Client;Onboarding;Resolved;16,2;Yes
2025-02-25;lerato.naidoo@bank.co.za;ACC31828642;Email;Client;Digital Banking;Escalated;48,4;No
2025-03-06;keketso.sangweni@bank.co.za;ACC26931274;Email;Other;Payments;Escalated;63,8;No
2025-03-09;zanele.mabaso@bank.co.za;ACC94822840;Call;Other;Onboarding;Resolved;10,6;Yes
2025-06-07;amanda.dlamini@bank.co.za;ACC26905080;Call;Client;Account Maintenance;Resolved;2,6;Yes
2025-05-06;brandon.jacobs@bank.co.za;ACC69403111;Call;Other;Account Maintenance;Resolved;6;Yes
2025-09-08;zanele.mabaso@bank.co.za;ACC23269800;Call;Relationship Banker;Payments;Resolved;11,7;Yes
2025-05-26;thabo.mokoena@bank.co.za;ACC89603277;Call;Other;Account Maintenance;Resolved;3;Yes
2025-05-20;naledi.maseko@bank.co.za;ACC85483768;Call;Client;Payments;Resolved;22,9;Yes
2025-11-10;naledi.maseko@bank.co.za;ACC52359712;Email;Relationship Banker;Technical;Escalated;47;No
2025-11-17;keketso.sangweni@bank.co.za;ACC15685987;Call;Client;Technical;Resolved;20,8;Yes
2025-11-26;zanele.mabaso@bank.co.za;ACC75089438;Call;Relationship Banker;Technical;Resolved;2;Yes
2025-04-20;brandon.jacobs@bank.co.za;ACC41689695;Email;Other;Onboarding;Resolved;23,6;Yes
2025-02-28;zanele.mabaso@bank.co.za;ACC50307265;Email;Other;Technical;Resolved;21,7;Yes
2025-07-19;keketso.sangweni@bank.co.za;ACC27139662;Call;Other;Technical;Resolved;13,3;Yes
2025-08-06;amanda.dlamini@bank.co.za;ACC94429059;Call;Relationship Banker;Payments;Resolved;19,7;Yes
2025-08-14;thabo.mokoena@bank.co.za;ACC74524558;Call;Other;Digital Banking;Resolved;20,4;Yes
2025-04-09;keketso.sangweni@bank.co.za;ACC38759576;Email;Other;Account Maintenance;Resolved;4,7;Yes
2025-05-24;amanda.dlamini@bank.co.za;ACC42315962;Email;Other;Account Maintenance;Resolved;8,6;Yes
2025-06-09;sibusiso.khanyile@bank.co.za;ACC68409900;Email;Other;Account Maintenance;Resolved;23;Yes
2025-05-08;keketso.sangweni@bank.co.za;ACC74206720;Call;Relationship Banker;Payments;Transfer to Different Dept;33,6;No
2025-05-21;thabo.mokoena@bank.co.za;ACC97901190;Call;Client;Technical;Resolved;2,3;Yes
2025-04-08;naledi.maseko@bank.co.za;ACC15657216;Call;Relationship Banker;Account Maintenance;Resolved;9,5;Yes
2025-04-18;lerato.naidoo@bank.co.za;ACC23055936;Email;Client;Technical;Resolved;5,6;Yes
2025-09-06;keketso.sangweni@bank.co.za;ACC69375849;Email;Client;Payments;Resolved;2,5;Yes
2025-05-08;lerato.naidoo@bank.co.za;ACC11579725;Call;Client;Account Maintenance;Resolved;6;Yes
2025-12-11;lerato.naidoo@bank.co.za;ACC93851589;Call;Client;Digital Banking;Resolved;13,5;Yes
2025-12-02;zanele.mabaso@bank.co.za;ACC29390541;Call;Relationship Banker;Account Maintenance;Pending;;Open
2025-05-24;keketso.sangweni@bank.co.za;ACC69292903;Call;Other;Payments;Resolved;6;Yes
2025-04-28;naledi.maseko@bank.co.za;ACC95797175;Email;Client;Technical;Resolved;24;Yes
2025-12-26;amanda.dlamini@bank.co.za;ACC97558352;Call;Client;Payments;Resolved;4,2;Yes
2025-10-01;lerato.naidoo@bank.co.za;ACC17376037;Call;Other;Payments;Resolved;5,5;Yes
2025-02-08;sibusiso.khanyile@bank.co.za;ACC69258373;Call;Other;Payments;Resolved;3,7;Yes
2025-03-04;thabo.mokoena@bank.co.za;ACC88725784;Call;Relationship Banker;Onboarding;Escalated;64,4;No
2025-07-16;lerato.naidoo@bank.co.za;ACC33666493;Email;Relationship Banker;Technical;Transfer to Different Dept;46;No
2025-07-22;thabo.mokoena@bank.co.za;ACC43987079;Email;Relationship Banker;Digital Banking;Pending;;Open
2025-09-16;keketso.sangweni@bank.co.za;ACC23353639;Call;Relationship Banker;Payments;Escalated;41,3;No
2025-08-16;thabo.mokoena@bank.co.za;ACC93763043;Email;Relationship Banker;Technical;Resolved;4,1;Yes
2025-05-23;keketso.sangweni@bank.co.za;ACC25176666;Email;Other;Technical;Resolved;22,4;Yes
2025-12-26;naledi.maseko@bank.co.za;ACC99740850;Email;Client;Account Maintenance;Resolved;10,1;Yes
2025-10-25;naledi.maseko@bank.co.za;ACC42155323;Call;Client;Payments;Pending;;Open
2025-01-22;sibusiso.khanyile@bank.co.za;ACC61249797;Email;Client;Technical;Resolved;18,2;Yes
2025-12-14;brandon.jacobs@bank.co.za;ACC21857384;Email;Other;Account Maintenance;Resolved;9,3;Yes
2025-01-07;brandon.jacobs@bank.co.za;ACC60009176;Email;Other;Payments;Resolved;17,7;Yes
2025-12-08;amanda.dlamini@bank.co.za;ACC89570119;Email;Client;Account Maintenance;Resolved;9,9;Yes
2025-07-10;lerato.naidoo@bank.co.za;ACC11301035;Call;Other;Payments;Escalated;66,9;No
2025-07-10;lerato.naidoo@bank.co.za;ACC94049712;Call;Relationship Banker;Account Maintenance;Escalated;54,2;No
2025-06-05;brandon.jacobs@bank.co.za;ACC98448368;Email;Relationship Banker;Payments;Resolved;14,1;Yes
2025-10-21;amanda.dlamini@bank.co.za;ACC84811311;Call;Client;Technical;Escalated;34,9;No
2025-06-16;keketso.sangweni@bank.co.za;ACC92284437;Call;Relationship Banker;Payments;Resolved;3,8;Yes
2025-11-06;zanele.mabaso@bank.co.za;ACC68230590;Call;Relationship Banker;Technical;Resolved;18,2;Yes
2025-09-13;brandon.jacobs@bank.co.za;ACC18866656;Email;Client;Onboarding;Resolved;11,1;Yes
2025-11-16;zanele.mabaso@bank.co.za;ACC25468148;Email;Other;Payments;Pending;;Open
2025-06-27;amanda.dlamini@bank.co.za;ACC69671217;Call;Client;Onboarding;Resolved;11,6;Yes
2025-03-08;thabo.mokoena@bank.co.za;ACC46519993;Call;Other;Technical;Resolved;4,4;Yes
2025-10-16;brandon.jacobs@bank.co.za;ACC84425897;Email;Relationship Banker;Onboarding;Resolved;2,8;Yes
2025-03-12;keketso.sangweni@bank.co.za;ACC63507318;Call;Relationship Banker;Payments;Resolved;13,3;Yes
2025-05-13;amanda.dlamini@bank.co.za;ACC75902353;Call;Other;Account Maintenance;Resolved;4,8;Yes
2025-12-19;brandon.jacobs@bank.co.za;ACC89942899;Call;Client;Technical;Resolved;2,5;Yes
2025-05-09;sibusiso.khanyile@bank.co.za;ACC30135938;Email;Client;Payments;Resolved;13,8;Yes
2025-01-14;lerato.naidoo@bank.co.za;ACC37402316;Call;Other;Onboarding;Pending;;Open
2025-02-22;naledi.maseko@bank.co.za;ACC55451294;Email;Client;Technical;Resolved;7;Yes
2025-04-11;lerato.naidoo@bank.co.za;ACC30725459;Call;Client;Technical;Resolved;22,1;Yes
2025-04-02;brandon.jacobs@bank.co.za;ACC39355144;Call;Client;Payments;Resolved;23,5;Yes
2025-07-29;sibusiso.khanyile@bank.co.za;ACC55177906;Email;Relationship Banker;Technical;Resolved;10,4;Yes
2025-05-16;keketso.sangweni@bank.co.za;ACC14916884;Email;Relationship Banker;Account Maintenance;Resolved;13,6;Yes
2025-08-13;thabo.mokoena@bank.co.za;ACC32235869;Email;Other;Digital Banking;Transfer to Different Dept;17,7;Yes
2025-05-20;lerato.naidoo@bank.co.za;ACC89453221;Call;Relationship Banker;Payments;Resolved;10,2;Yes
2025-11-08;sibusiso.khanyile@bank.co.za;ACC49039856;Call;Other;Payments;Resolved;2,2;Yes
2025-05-13;thabo.mokoena@bank.co.za;ACC81509124;Call;Client;Payments;Resolved;23,2;Yes
2025-06-23;thabo.mokoena@bank.co.za;ACC15516012;Call;Other;Payments;Resolved;10,6;Yes
2025-06-02;naledi.maseko@bank.co.za;ACC77463613;Call;Relationship Banker;Digital Banking;Resolved;21,3;Yes
2025-06-17;thabo.mokoena@bank.co.za;ACC63248063;Call;Client;Technical;Resolved;20,6;Yes
2025-05-25;naledi.maseko@bank.co.za;ACC23831348;Call;Other;Technical;Resolved;4,1;Yes
2025-08-30;sibusiso.khanyile@bank.co.za;ACC92432180;Call;Other;Payments;Transfer to Different Dept;38,8;No
2025-05-31;naledi.maseko@bank.co.za;ACC39458061;Email;Relationship Banker;Payments;Transfer to Different Dept;31;No
2025-05-07;zanele.mabaso@bank.co.za;ACC78774809;Call;Other;Technical;Resolved;7,5;Yes
2025-01-31;brandon.jacobs@bank.co.za;ACC80975669;Email;Client;Payments;Resolved;12,3;Yes
2025-03-27;sibusiso.khanyile@bank.co.za;ACC10513955;Call;Client;Account Maintenance;Resolved;19,3;Yes
2025-11-03;brandon.jacobs@bank.co.za;ACC58669862;Call;Relationship Banker;Technical;Transfer to Different Dept;33,7;No
2025-11-29;naledi.maseko@bank.co.za;ACC52018430;Email;Client;Payments;Pending;;Open
2025-05-08;thabo.mokoena@bank.co.za;ACC36158352;Email;Other;Payments;Resolved;13,1;Yes
2025-11-19;brandon.jacobs@bank.co.za;ACC78937032;Email;Client;Technical;Resolved;7,6;Yes
2025-02-11;brandon.jacobs@bank.co.za;ACC24151319;Call;Relationship Banker;Payments;Transfer to Different Dept;15,8;Yes
2025-10-14;thabo.mokoena@bank.co.za;ACC78446229;Call;Other;Payments;Resolved;13,5;Yes
2025-05-05;brandon.jacobs@bank.co.za;ACC80422939;Call;Other;Onboarding;Escalated;35,7;No
2025-08-28;sibusiso.khanyile@bank.co.za;ACC60181447;Call;Relationship Banker;Onboarding;Resolved;2,8;Yes
2025-02-27;keketso.sangweni@bank.co.za;ACC93569908;Email;Client;Technical;Escalated;29,8;No
2025-11-15;brandon.jacobs@bank.co.za;ACC55863547;Email;Relationship Banker;Digital Banking;Resolved;6,1;Yes
2025-04-26;naledi.maseko@bank.co.za;ACC36361867;Call;Relationship Banker;Payments;Transfer to Different Dept;12,9;Yes
2025-04-01;zanele.mabaso@bank.co.za;ACC84359380;Call;Client;Technical;Resolved;9,4;Yes
2025-09-21;zanele.mabaso@bank.co.za;ACC39345332;Call;Client;Account Maintenance;Pending;;Open
2025-10-24;lerato.naidoo@bank.co.za;ACC51386834;Email;Client;Account Maintenance;Resolved;3,8;Yes
2025-05-07;amanda.dlamini@bank.co.za;ACC42944673;Call;Client;Technical;Resolved;19,9;Yes
2025-03-24;brandon.jacobs@bank.co.za;ACC62831306;Email;Relationship Banker;Account Maintenance;Escalated;65,6;No
2025-04-18;keketso.sangweni@bank.co.za;ACC20276276;Email;Relationship Banker;Payments;Resolved;23,7;Yes
2025-12-30;amanda.dlamini@bank.co.za;ACC29763071;Email;Relationship Banker;Technical;Resolved;1,3;Yes
2025-10-26;lerato.naidoo@bank.co.za;ACC72490458;Email;Client;Payments;Resolved;23,7;Yes
2025-09-04;naledi.maseko@bank.co.za;ACC92234418;Call;Other;Payments;Resolved;13;Yes
2025-05-15;brandon.jacobs@bank.co.za;ACC53170465;Call;Relationship Banker;Digital Banking;Resolved;21,5;Yes
2025-10-31;keketso.sangweni@bank.co.za;ACC77231429;Call;Client;Payments;Pending;;Open
2025-12-28;naledi.maseko@bank.co.za;ACC34703115;Email;Other;Account Maintenance;Resolved;6,6;Yes
2025-04-30;thabo.mokoena@bank.co.za;ACC25285144;Call;Relationship Banker;Onboarding;Resolved;18,5;Yes
2025-09-02;zanele.mabaso@bank.co.za;ACC98092434;Call;Other;Account Maintenance;Resolved;5,9;Yes
2025-05-12;naledi.maseko@bank.co.za;ACC13980567;Call;Client;Payments;Resolved;14,1;Yes
2025-02-09;naledi.maseko@bank.co.za;ACC34386069;Call;Relationship Banker;Onboarding;Transfer to Different Dept;45,6;No
2025-02-05;brandon.jacobs@bank.co.za;ACC77889753;Email;Other;Technical;Transfer to Different Dept;32,2;No
2025-09-14;zanele.mabaso@bank.co.za;ACC55111364;Call;Relationship Banker;Account Maintenance;Pending;;Open
2025-04-10;lerato.naidoo@bank.co.za;ACC14150802;Call;Other;Account Maintenance;Resolved;6;Yes
2025-09-11;lerato.naidoo@bank.co.za;ACC49458037;Call;Relationship Banker;Account Maintenance;Resolved;13,6;Yes
2025-06-20;sibusiso.khanyile@bank.co.za;ACC27029824;Call;Client;Technical;Escalated;24,4;No
2025-02-08;thabo.mokoena@bank.co.za;ACC58819928;Email;Relationship Banker;Account Maintenance;Resolved;1,7;Yes
2025-04-03;naledi.maseko@bank.co.za;ACC17791332;Call;Relationship Banker;Account Maintenance;Resolved;16,5;Yes
2025-09-22;zanele.mabaso@bank.co.za;ACC45096037;Call;Client;Account Maintenance;Resolved;14;Yes
2025-11-30;brandon.jacobs@bank.co.za;ACC82956619;Call;Client;Onboarding;Resolved;19,7;Yes
2025-09-09;amanda.dlamini@bank.co.za;ACC28501085;Email;Other;Payments;Resolved;6,8;Yes
2025-07-24;keketso.sangweni@bank.co.za;ACC55492748;Call;Other;Digital Banking;Resolved;11,3;Yes
2025-03-18;lerato.naidoo@bank.co.za;ACC47199112;Call;Client;Account Maintenance;Pending;;Open
2025-02-17;thabo.mokoena@bank.co.za;ACC38381193;Email;Relationship Banker;Technical;Resolved;9,1;Yes
2025-05-16;sibusiso.khanyile@bank.co.za;ACC70984164;Call;Relationship Banker;Digital Banking;Resolved;13,9;Yes
2025-12-08;keketso.sangweni@bank.co.za;ACC84893601;Call;Client;Payments;Escalated;32;No
2025-11-18;sibusiso.khanyile@bank.co.za;ACC50078732;Call;Relationship Banker;Payments;Resolved;22,4;Yes
2025-01-04;sibusiso.khanyile@bank.co.za;ACC96050240;Call;Client;Payments;Escalated;25,8;No
2025-11-07;naledi.maseko@bank.co.za;ACC91693092;Call;Other;Technical;Resolved;2,3;Yes
2025-10-29;lerato.naidoo@bank.co.za;ACC17305548;Email;Client;Technical;Resolved;8,2;Yes
2025-01-04;zanele.mabaso@bank.co.za;ACC59993871;Email;Client;Account Maintenance;Escalated;35,2;No
2025-08-21;brandon.jacobs@bank.co.za;ACC36414891;Email;Other;Payments;Escalated;46,7;No
2025-05-03;thabo.mokoena@bank.co.za;ACC44917506;Call;Other;Technical;Transfer to Different Dept;31,7;No
2025-05-11;brandon.jacobs@bank.co.za;ACC78089444;Call;Client;Payments;Resolved;17;Yes
2025-01-21;sibusiso.khanyile@bank.co.za;ACC49322871;Email;Client;Payments;Resolved;23,3;Yes
2025-03-11;zanele.mabaso@bank.co.za;ACC67660135;Email;Relationship Banker;Technical;Escalated;57;No
2025-08-17;thabo.mokoena@bank.co.za;ACC99678577;Email;Relationship Banker;Payments;Resolved;23,6;Yes
2025-11-09;zanele.mabaso@bank.co.za;ACC87804812;Call;Other;Payments;Pending;;Open
2025-04-17;thabo.mokoena@bank.co.za;ACC55932853;Call;Client;Payments;Resolved;10,7;Yes
2025-09-01;lerato.naidoo@bank.co.za;ACC96243628;Call;Other;Digital Banking;Resolved;17,2;Yes
2025-10-15;naledi.maseko@bank.co.za;ACC99882137;Call;Client;Onboarding;Escalated;64,1;No
2025-01-30;thabo.mokoena@bank.co.za;ACC57330867;Email;Other;Payments;Resolved;17,7;Yes
2025-09-26;lerato.naidoo@bank.co.za;ACC89420079;Email;Other;Account Maintenance;Resolved;12,7;Yes
2025-04-04;keketso.sangweni@bank.co.za;ACC28527632;Call;Client;Digital Banking;Resolved;4,7;Yes
2025-08-21;naledi.maseko@bank.co.za;ACC29414833;Call;Relationship Banker;Technical;Transfer to Different Dept;46;No
2025-12-10;thabo.mokoena@bank.co.za;ACC38724638;Call;Relationship Banker;Account Maintenance;Escalated;54,4;No
2025-11-17;zanele.mabaso@bank.co.za;ACC91436921;Call;Client;Payments;Resolved;10,3;Yes
2025-11-07;brandon.jacobs@bank.co.za;ACC78653867;Email;Client;Payments;Resolved;19;Yes
2025-11-25;sibusiso.khanyile@bank.co.za;ACC29868588;Call;Client;Onboarding;Resolved;15,5;Yes
2025-06-19;zanele.mabaso@bank.co.za;ACC18705150;Call;Relationship Banker;Payments;Resolved;18,3;Yes
2025-02-04;lerato.naidoo@bank.co.za;ACC90714103;Email;Relationship Banker;Technical;Escalated;33,3;No
2025-02-03;lerato.naidoo@bank.co.za;ACC34665521;Call;Client;Payments;Resolved;3,3;Yes
2025-12-26;zanele.mabaso@bank.co.za;ACC92746837;Call;Other;Digital Banking;Resolved;10,5;Yes
2025-12-11;sibusiso.khanyile@bank.co.za;ACC68577922;Call;Other;Digital Banking;Transfer to Different Dept;32,8;No
2025-04-26;thabo.mokoena@bank.co.za;ACC50563578;Email;Relationship Banker;Payments;Resolved;4,6;Yes
2025-01-02;thabo.mokoena@bank.co.za;ACC10570084;Email;Client;Digital Banking;Escalated;30,8;No
2025-08-27;keketso.sangweni@bank.co.za;ACC90864499;Call;Other;Technical;Resolved;19;Yes
2025-10-15;thabo.mokoena@bank.co.za;ACC58562390;Email;Relationship Banker;Account Maintenance;Resolved;15,7;Yes
2025-11-04;zanele.mabaso@bank.co.za;ACC65626883;Call;Relationship Banker;Digital Banking;Resolved;21,4;Yes
2025-10-15;zanele.mabaso@bank.co.za;ACC42587534;Call;Relationship Banker;Account Maintenance;Escalated;37,5;No
2025-08-03;lerato.naidoo@bank.co.za;ACC13751364;Call;Relationship Banker;Payments;Resolved;5,2;Yes
2025-01-30;zanele.mabaso@bank.co.za;ACC44271616;Email;Other;Payments;Resolved;1,6;Yes
2025-02-18;keketso.sangweni@bank.co.za;ACC71181317;Email;Other;Account Maintenance;Resolved;11,5;Yes
2025-01-27;lerato.naidoo@bank.co.za;ACC31093252;Call;Client;Digital Banking;Resolved;23,3;Yes
2025-08-28;naledi.maseko@bank.co.za;ACC86701116;Email;Relationship Banker;Onboarding;Resolved;13,4;Yes
2025-08-17;sibusiso.khanyile@bank.co.za;ACC63780696;Email;Other;Onboarding;Escalated;43,5;No
2025-11-13;thabo.mokoena@bank.co.za;ACC13039060;Email;Client;Technical;Resolved;24;Yes
2025-12-24;sibusiso.khanyile@bank.co.za;ACC81424133;Email;Other;Account Maintenance;Resolved;22,9;Yes
2025-05-18;sibusiso.khanyile@bank.co.za;ACC59845646;Email;Relationship Banker;Technical;Resolved;4,5;Yes
2025-03-15;lerato.naidoo@bank.co.za;ACC56203456;Call;Client;Technical;Resolved;6,7;Yes
2025-07-10;zanele.mabaso@bank.co.za;ACC86837931;Email;Relationship Banker;Payments;Resolved;11,3;Yes
2025-04-25;sibusiso.khanyile@bank.co.za;ACC26268653;Call;Other;Technical;Escalated;43;No
2025-01-21;keketso.sangweni@bank.co.za;ACC66275637;Call;Client;Onboarding;Resolved;4;Yes
2025-05-24;brandon.jacobs@bank.co.za;ACC27181815;Call;Relationship Banker;Digital Banking;Transfer to Different Dept;12,8;Yes
2025-11-08;keketso.sangweni@bank.co.za;ACC84774235;Call;Client;Onboarding;Escalated;39,4;No
2025-11-29;keketso.sangweni@bank.co.za;ACC80481866;Call;Other;Payments;Escalated;62;No
2025-10-14;thabo.mokoena@bank.co.za;ACC63664540;Email;Relationship Banker;Technical;Resolved;14,8;Yes
2025-07-27;sibusiso.khanyile@bank.co.za;ACC78355308;Call;Client;Technical;Resolved;2,8;Yes
2025-05-18;zanele.mabaso@bank.co.za;ACC83647697;Call;Client;Onboarding;Resolved;17,2;Yes
2025-09-29;amanda.dlamini@bank.co.za;ACC34323027;Call;Client;Account Maintenance;Resolved;13,6;Yes
2025-06-23;zanele.mabaso@bank.co.za;ACC71334566;Call;Other;Account Maintenance;Resolved;15,5;Yes
2025-03-29;zanele.mabaso@bank.co.za;ACC82050253;Call;Relationship Banker;Digital Banking;Resolved;22,6;Yes
2025-11-20;thabo.mokoena@bank.co.za;ACC62321850;Call;Client;Technical;Resolved;9,2;Yes
2025-02-08;lerato.naidoo@bank.co.za;ACC85611293;Call;Relationship Banker;Technical;Resolved;23,1;Yes
2025-01-29;thabo.mokoena@bank.co.za;ACC93071324;Call;Relationship Banker;Account Maintenance;Resolved;20,7;Yes
2025-09-20;sibusiso.khanyile@bank.co.za;ACC85374199;Call;Other;Onboarding;Transfer to Different Dept;41,8;No
2025-08-01;lerato.naidoo@bank.co.za;ACC91859030;Call;Relationship Banker;Technical;Escalated;62,5;No
2025-08-23;naledi.maseko@bank.co.za;ACC80452343;Email;Client;Payments;Resolved;15,5;Yes
2025-03-19;zanele.mabaso@bank.co.za;ACC73656335;Email;Client;Payments;Resolved;1,7;Yes
2025-10-15;amanda.dlamini@bank.co.za;ACC10686601;Call;Relationship Banker;Account Maintenance;Resolved;19,5;Yes
2025-01-03;naledi.maseko@bank.co.za;ACC30747994;Email;Client;Payments;Escalated;32,8;No
2025-01-16;sibusiso.khanyile@bank.co.za;ACC89073768;Call;Other;Digital Banking;Transfer to Different Dept;40;No
2025-04-21;sibusiso.khanyile@bank.co.za;ACC95995470;Call;Other;Account Maintenance;Escalated;28,1;No
2025-10-05;zanele.mabaso@bank.co.za;ACC70243633;Email;Relationship Banker;Technical;Resolved;1,1;Yes
2025-07-24;zanele.mabaso@bank.co.za;ACC28739538;Email;Other;Payments;Transfer to Different Dept;29,5;No
2025-07-05;amanda.dlamini@bank.co.za;ACC89382272;Call;Relationship Banker;Account Maintenance;Transfer to Different Dept;18;Yes
2025-07-11;amanda.dlamini@bank.co.za;ACC75689820;Call;Client;Account Maintenance;Pending;;Open
